ID1,ID2,link_type,vertex_from,weight
AnNA_Kon_da2020,SanyaBulbul,link,,2
AnNA_Kon_da2020,GG_TOV,link,,3
AnNA_Kon_da2020,qAnei4cS4ylewUk,link,,1
AnNA_Kon_da2020,kozache_ssmid,link,,2
AnNA_Kon_da2020,Anna2011Super,link,,3
AnNA_Kon_da2020,JarritaLT,link,,2
washehz,MrMaaay,link,,1
washehz,Kryladze,link,,3
aleks_pasport,LenaAn13,link,,2
aleks_pasport,7oTGVLeCJ5k8qyl,link,,9
aleks_pasport,XDUNDkI5upS83OM,link,,2
aleks_pasport,v_tretyakov,link,,1
aleks_pasport,mkacapov,link,,4
29129173,ProshlgdnLmonat,link,,4
29129173,aarakelyaan,link,,1
bodalev,Master70410861,link,,3
rushen1960,h3SUph2I4CxhKZO,link,,1
rushen1960,alisamail7,link,,1
rushen1960,Vladimi82222415,link,,2
rushen1960,VictorMaclaud,link,,1
rushen1960,LM31569648,link,,1
rushen1960,kir_dik,link,,1
rushen1960,astradinaTT,link,,1
rushen1960,St91521478,link,,1
rushen1960,ChernobayMariy,link,,1
rushen1960,kaskadas,link,,2
rushen1960,2Nonane,link,,4
rushen1960,bullxead,link,,2
rushen1960,MrMaaay,link,,1
rushen1960,50valdar,link,,1
rushen1960,porzellan2013,link,,1
rushen1960,letov_2013,link,,1
rushen1960,DocVra4,link,,1
rushen1960,rane_max,link,,4
rushen1960,JollyRogerFlag,link,,1
rushen1960,Oskianocner,link,,1
rushen1960,predfm,link,,1
rushen1960,versl9,link,,2
rushen1960,Banzik54,link,,1
rushen1960,ProshlgdnLmonat,link,,1
rushen1960,DeiGloriya,link,,1
rushen1960,Panikushka5063,link,,1
rushen1960,bad_rzn,link,,1
rushen1960,alyoha0070,link,,1
rushen1960,fess_laeda,link,,1
rushen1960,Allegro11111,link,,2
rushen1960,rucornholio,link,,1
lentaruofficial,Evdokija4478,link,,2
lentaruofficial,GS9imGvOlH3hztM,link,,4
lentaruofficial,ninti7,link,,3
lentaruofficial,pograncazhena,link,,3
lentaruofficial,VictorMaclaud,link,,5
lentaruofficial,Ulitka,link,,5
lentaruofficial,polvod1995,link,,7
lentaruofficial,IvanNik75550593,link,,4
lentaruofficial,kaskadas,link,,4
lentaruofficial,wasilyw00,link,,1
lentaruofficial,Tarik251278,link,,3
lentaruofficial,samsvet73,link,,3
lentaruofficial,Art09355711,link,,1
lentaruofficial,mar5700,link,,3
lentaruofficial,indecentKurt,link,,4
lentaruofficial,GALINAUSTINOVA,link,,3
lentaruofficial,Kapusta_LV92,link,,2
lentaruofficial,bondyreva66,link,,2
lentaruofficial,VByro2013,link,,2
lentaruofficial,kovko2011Linux,link,,2
lentaruofficial,SONYNETPSVITA,link,,7
lentaruofficial,olgaf_21,link,,2
lentaruofficial,palaginat,link,,7
