channel_name,texts,vertex_type
tv360ru_bot,tv360ru_bot.yaml,channel
chitaynas,chitaynas.yaml,channel
tularegion71,tularegion71.yaml,channel
gender_gap,gender_gap.yaml,channel
sbagdasarov,sbagdasarov.yaml,channel
trash_science,trash_science.yaml,channel
vrogov,vrogov.yaml,channel
gosuslugi,gosuslugi.yaml,channel
golosrn,golosrn.yaml,channel
kstati_p,kstati_p.yaml,channel
good78news,good78news.yaml,channel
shaltaybabay,shaltaybabay.yaml,channel
bfmnews,bfmnews.yaml,channel
rt_russian,rt_russian.yaml,channel
tgrussia,tgrussia.yaml,channel
ddrobnitski,ddrobnitski.yaml,channel
tegive_bot,tegive_bot.yaml,channel
antiskrepa,antiskrepa.yaml,channel
partynewpeople,partynewpeople.yaml,channel
kuraifutlar,kuraifutlar.yaml,channel
overheard_rzn,overheard_rzn.yaml,channel
bolkunets,bolkunets.yaml,channel
topinfographic,topinfographic.yaml,channel
rudnstudentslife,rudnstudentslife.yaml,channel
samsmu,samsmu.yaml,channel
mskuratov,mskuratov.yaml,channel
khamsin_season,khamsin_season.yaml,channel
kaktovottak,kaktovottak.yaml,channel
nikonovlive,nikonovlive.yaml,channel
notdead34,notdead34.yaml,channel
vneshpol,vneshpol.yaml,channel
nur24ru,nur24ru.yaml,channel
readovkanews,readovkanews.yaml,channel
deputatdumy,deputatdumy.yaml,channel
radiogovoritmsk,radiogovoritmsk.yaml,channel
fridrihshow,fridrihshow.yaml,channel
caubabylon,caubabylon.yaml,channel
studscience,studscience.yaml,channel
news_de,news_de.yaml,channel
mediakiller,mediakiller.yaml,channel
y555142,y555142.yaml,channel
polittransit,polittransit.yaml,channel
dumayem,dumayem.yaml,channel
neshulman,neshulman.yaml,channel
bpshkola,bpshkola.yaml,channel
mintsifry,mintsifry.yaml,channel
ctrs2018,ctrs2018.yaml,channel
channel_elmurid,channel_elmurid.yaml,channel
kremlin_mother_expert,kremlin_mother_expert.yaml,channel
nedalniy_vostok,nedalniy_vostok.yaml,channel
tolk_tolk,tolk_tolk.yaml,channel
ngs24_krsk,ngs24_krsk.yaml,channel
tsurofficial,tsurofficial.yaml,channel
narrativepolitjoystic,narrativepolitjoystic.yaml,channel
bigpowernews,bigpowernews.yaml,channel
opustoshitel,opustoshitel.yaml,channel
dmuctruz,dmuctruz.yaml,channel
esportsmephi,esportsmephi.yaml,channel
hellotransfer,hellotransfer.yaml,channel
kleveta,kleveta.yaml,channel
dirtytatarstan,dirtytatarstan.yaml,channel
m5lawfirm,m5lawfirm.yaml,channel
career_in_spbstu,career_in_spbstu.yaml,channel
futurecap,futurecap.yaml,channel
tusur,tusur.yaml,channel
corruptiontv,corruptiontv.yaml,channel
protest75,protest75.yaml,channel
ohranitel,ohranitel.yaml,channel
octagonmedia,octagonmedia.yaml,channel
pnzgu,pnzgu.yaml,channel
vech_sar,vech_sar.yaml,channel
kostroma1,kostroma1.yaml,channel
kgh_moscow,kgh_moscow.yaml,channel
remeslaw,remeslaw.yaml,channel
eat_moscow,eat_moscow.yaml,channel
ai2035edu,ai2035edu.yaml,channel
plutovstvo007,plutovstvo007.yaml,channel
nongreta,nongreta.yaml,channel
enews112,enews112.yaml,channel
forbesrussia,forbesrussia.yaml,channel
ckmgupp,ckmgupp.yaml,channel
plnpskov,plnpskov.yaml,channel
dragan_covid,dragan_covid.yaml,channel
mozhemobyasnit,mozhemobyasnit.yaml,channel
prorectors,prorectors.yaml,channel
v_semenov_asha,v_semenov_asha.yaml,channel
regionalny,regionalny.yaml,channel
gopeterburg,gopeterburg.yaml,channel
platovrostov,platovrostov.yaml,channel
mephictf,mephictf.yaml,channel
northmkarel,northmkarel.yaml,channel
